"word1"	"word2"	"freq"
"892"	"the"	"house"	7
"893"	"the"	"life"	7
"894"	"the"	"middle"	7
"895"	"the"	"more"	7
"896"	"the"	"name"	7
"897"	"the"	"ones"	7
"898"	"the"	"original"	7
"899"	"the"	"real"	7
"900"	"the"	"story"	7
"901"	"the"	"th"	7
"902"	"the"	"things"	7
"903"	"them"	"to"	7
"904"	"there"	"a"	7
"905"	"think"	"its"	7
"906"	"think"	"that"	7
"907"	"think"	"you"	7
"908"	"this"	"day"	7
"909"	"this"	"world"	7
"910"	"thousands"	"of"	7
"911"	"to"	"bed"	7
"912"	"to"	"enter"	7
"913"	"to"	"live"	7
"914"	"to"	"meet"	7
"915"	"to"	"stay"	7
"916"	"to"	"stop"	7
"917"	"to"	"that"	7
"918"	"today"	"i"	7
"919"	"took"	"a"	7
"920"	"under"	"the"	7
"921"	"up"	"at"	7
"922"	"us"	"and"	7
"923"	"wait"	"for"	7
"924"	"wake"	"up"	7
"925"	"wants"	"to"	7
"926"	"was"	"one"	7
"927"	"watch"	"the"	7
"928"	"we"	"need"	7
"929"	"well"	"have"	7
"930"	"what"	"are"	7
"931"	"what"	"happened"	7
"932"	"what"	"he"	7
"933"	"whats"	"the"	7
"934"	"will"	"have"	7
"935"	"willing"	"to"	7
"936"	"with"	"us"	7
"937"	"with"	"your"	7
"938"	"wonder"	"if"	7
"939"	"would"	"not"	7
"940"	"year"	"old"	7
"941"	"yes"	"i"	7
"942"	"you"	"ever"	7
"943"	"you"	"need"	7
"944"	"you"	"were"	7
"945"	"your"	"own"	7
"946"	"a"	"bad"	6
"947"	"a"	"car"	6
"948"	"a"	"child"	6
"949"	"a"	"free"	6
"950"	"a"	"huge"	6
"951"	"a"	"part"	6
"952"	"a"	"second"	6
"953"	"a"	"single"	6
"954"	"a"	"whole"	6
"955"	"a"	"wonderful"	6
"956"	"act"	"of"	6
"957"	"against"	"the"	6
"958"	"all"	"i"	6
"959"	"all"	"over"	6
"960"	"all"	"week"	6
"961"	"also"	"a"	6
"962"	"always"	"be"	6
"963"	"always"	"been"	6
"964"	"am"	"i"	6
"965"	"am"	"so"	6
"966"	"and"	"also"	6
"967"	"and"	"for"	6
"968"	"and"	"had"	6
"969"	"and"	"how"	6
"970"	"and"	"most"	6
"971"	"and"	"will"	6
"972"	"are"	"now"	6
"973"	"at"	"me"	6
"974"	"at"	"work"	6
"975"	"back"	"and"	6
"976"	"back"	"of"	6
"977"	"back"	"on"	6
